name	level	heat	longitude	latitude
溪口景区	5A	0.9	121.22742	29.687265
太白碑林		0	104.699002	31.675048
独秀峰王城景区	5A	0.72	110.305678	25.289462
九华山	5A	1	117.810454	30.488263
婺源篁岭	4A	0	118.127595	29.339174
隋唐洛阳城明堂天堂景区		0	112.464474	34.686965
一寨两国		0	97.802071	23.961167
凤凰古城	4A	1	109.607088	27.953295
五爷庙		0	113.6086354	38.98317309
曲阜孔庙		0	116.996346	35.598318
古徽州文化旅游区	5A	0	118.308664	29.863671
台北故宫博物院		1	121.548493	25.10234
朱家花园	4A	0.82	102.833826	23.622492
乌镇东栅		0	120.503219	30.747083
乾陵	4A	1	108.226308	34.577233
贺兰山岩画	4A	0.9	106.032253	38.742232
卢浮宫		1	2.354419796	48.86164903
沈阳故宫	4A	0.7	123.462202	41.804471
肇庆龙母庙	4A	0.72	112.141314	23.098675
杜甫江阁		0	112.975371	28.190587
珍宝馆		0	116.403413	39.921947
高家大院		0.74	108.94997	34.269155
南京阅江楼	4A	0.78	118.75312	32.099764
荣国府	4A	0.74	114.585705	38.153502
普陀宗乘之庙	4A	0.72	117.955153	41.013316
南风古灶旅游区	4A	0	113.083642	23.011112
两江国际影视城（民国街）		0	106.828801	29.691352
黄龙风景区	5A	0.74	103.839798	32.75533
洪洞大槐树	5A	1	111.681287	36.275181
朝天门		0	108.645189	31.029858
岭南印象园	4A	0.74	113.411898	23.041453
青岛德国监狱旧址博物馆	3A	0	120.335185	36.067216
盘门	4A	0.78	120.622528	31.293535
美龄宫		0	118.8524292	32.05200358
张氏帅府	4A	0.8	123.464684	41.800237
安仁古镇		0	103.62469	30.512966
毛泽东同志故居	4A	0.78	112.49848	27.910957
澳门威尼斯人度假村		0.94	113.571859	22.150543
采石矶	4A	1	118.466567	31.656788
居庸关长城	4A	0.72	116.081732	40.295477
东方威尼斯水城		0	121.68456	38.927648
南靖土楼群		0	117.293053	24.668803
黟县卢村木雕楼景区		0	117.983587	30.020204
李鸿章故居	4A	0.82	117.297814	31.870344
周城		0.72	100.1803	25.698063
夫子庙大成殿		0.7	118.795346	32.026901
三星堆	4A	1	104.22944	31.007071
大理古城		0.96	100.170462	25.693527
张学良故居		0.72	117.208314	39.129747
张掖大佛寺	4A	1	100.46267	38.936969
鼎湖山	4A	0.86	112.561202	23.165899
瑶里	4A	0.98	117.588075	29.547307
湖广会馆	4A	0.72	106.593781	29.564524
五当召	4A	0.78	110.320996	40.797434
大观楼	4A	0.8	102.680412	25.030081
金佛山	5A	0.72	107.207362	29.104603
古堰画乡		0.72	119.751846	28.302032
木渎古镇	4A	0.76	120.512729	31.260181
大明寺	4A	0.76	119.419311	32.425243
竹泉村	4A	0	118.444301	35.653863
刘伯温故里旅游景区—百丈漈		0	120.030207	27.852205
胡雪岩故居		0.72	120.179401	30.242803
龙亭公园	4A	0.86	114.359797	34.814381
南屏古镇	4A	0.72	117.910234	29.905838
建水小火车		0	102.837955	23.628677
普宁寺	4A	0.74	117.958959	41.022896
岳阳楼—君山岛景区	5A	1	113.013372	29.3586
王村芙蓉镇		0.7	109.95547	28.751383
雪浪山生态景观园	3A	0	120.268999	31.462488
伏曦太昊陵	4A	0.7	114.893598	33.753932
库车王府		0.7	82.928669	41.725384
朱家角古镇	4A	0.72	121.061605	31.116917
嘉兴南湖旅游区	5A	0.72	120.765594	30.761514
定陵		0.72	116.233071	40.30027
勐泐大佛寺	4A	0.76	100.8137552	21.96954024
东莞观音山旅游风景区	4A	0.76	114.103413	22.911516
红螺寺	4A	0.7	116.631693	40.380966
虎山长城	4A	0.76	124.528379	40.232817
青岩寺		1	121.633058	41.467058
牌坊群鲍家花园	5A	0	118.378696	29.868063
甪直古镇	4A	0.72	120.878241	31.276029
意式风情街		0	117.206871	39.140884
白庙	3A	0	99.76315597	19.82427256
上海城隍庙		0.76	121.4991215	31.23140901
东山风动石	4A	0.74	117.541012	23.742962
殷墟	5A	0.94	114.315893	36.148167
兴城古城	4A	0.84	120.718666	40.629181
香山寺		0.74	112.486647	34.560451
雍和宫		0.76	116.423433	39.954954
可邑小镇		0	103.373326	24.519569
马蹄寺	4A	0.76	100.43466	38.509348
玉门关		0.82	93.87168	40.360143
宝顶山景区		0.72	105.803535	29.757869
小雁塔		0	108.948496	34.245487
紫云谷		0	112.589086	23.136987
鸡鸣岛		0	122.489831	37.456227
荡口古镇		0	120.55571	31.532893
鲁迅故里	5A	1	120.59214	29.998469
应县木塔	4A	1	113.195365	39.571065
京西古道		0.7	116.055224	39.973156
静园-末代皇帝溥仪旧居	3A	0	117.195893	39.128964
陕州地坑院		0	111.145534	34.697394
龙门古镇	4A	0.7	119.956998	29.906072
沧浪亭		0.76	120.631982	31.300658
南普陀寺		0.92	118.103152	24.44694
叶坪革命遗址	5A	0.7	116.079721	25.912296
南泥湾革命旧址		0.7	109.677516	36.321241
特呈渔岛度假村		0	110.424925	21.195015
皇城相府	5A	1	112.588586	35.519979
恐龙遗迹园	5A	0.82	111.692795	33.23493
明月湾古村		0	120.314515	31.134916
扬州东关街历史文化街		0	119.458133	32.403549
解州关帝庙	4A	0.82	110.856919	34.913108
大同华严寺	4A	0.72	113.30328	40.098777
锦溪古镇	4A	0.72	120.905582	31.180834
